RATING,REASON,SIDE EFFECTS FOR ZITHROMAX,COMMENTS,SEX,AGE,DURATION/DOSAGE,DATE ADDED
3,Infection in tooth,"Dry mouth, sleeplessness, stopped up, stomach cramps, hard swallowing, heart feel like beating out my chest at times, extreme tiredness, belching and gastric issues.",,F,50,5 days250mg 1X day,7/29/2023
1,Bronchitis,"I also was taking prednisone with it and couldn't figure out which one was causing me to feel, light headed, jittery, numbness in mouth, hands and feet, just over all awful. Never again",,F,65,5 days30 1X day,06/11/2023
1,Sinusitis,"Terrible side effects. Racing heartbeat, almost passed out, terrible anxiety for days...",,M,30,3 days500 1X day,5/18/2023
1,tonsilitis,"horrible anxiety, fatigue, heart palpitations, brain zaps.",i hope this goes away soon i really wanted to stop taking it mid way,F,22,5 days250 1X day,3/15/2023
1,Asthma flare up,"First 2 days feeling fine it was helping with asthma, been anxiety /panic attacks free for 9 months. Third day severe anxiety dizziness blurry vision . I finished zpack 2 days ago anxiety and other side effects still going",I took zpack last year and had no problems this is antibiotic I trusted but no more !!! Did anything been changed??,F,60,5 days 1X day,2/7/2023Email
1,Cough,Heart racing. Irregular hear beat. Stopped taking it.,Horrible drug.,F,69,5 days250 mg 1X day,12/21/2022Email
1,Sinus infection,I have taken this drug before with minor problem - went to doc for a sinus infection .. received a rocephin shot and a z pack - took on pill 2 days ago and have been so nauseated for two days that i can barely eat - maybe damage to my esophagus? It's miserable. Feel like I'm going to throw up all day long !,,F,43,1 days15 1X day,10/27/2022Email
1,sinus infection like syptoms,"Smell and taste loss, imapired hearing, anxiety, depression, dry mouth, night sweats, insomnia and many more...",Still feeling the side effects of this drug more than a month later. Maybe its still in my system. Completely ruined my life. Never ever take this drug !!!,M,30,6 days500 1X day,10/10/2022Email
1,sinus infection like syptoms,"Lost sense of smell and taste, impaired hearing, weight loss, severe depression and a lot more","Its been more than a month, and still feeling the side effects of this nasty drug. Maybe its still in my system. It ruined my life. The damage it made me is beyond the imaginable. Never ever take this !!!",M,30,6 days500 1X day,10/10/2022
1,Sinus infection and cough,About 3 hrs after first dose (2 tablets) of generic version it set off a severe panic attack (my body is super sensitive to meds and has this reaction occasionally. Had the same reaction to first Covid vaccine). Also had some mild abdominal pain. The panic attack and elevated heart rate was followed by severe diarrhea- my first trip to the bathroom I couldn't make it to the toilet before some came out. So far the 2nd and 3rd trips I have made it in time and it seems to be easing up. I will NOT continue thos drug! Yikes!,,F,57,1 days 1X day,9/12/2022Email
1,Sinusitis,Severe anxiety depression insomnia stomach pain diarrhea headache,"My symptoms kicked in on day 5 and I am now 10
Days since last dose and am still experiencing symptoms",F,62,5 days100mg 1X day,7/27/2022
3,Walking pneumonia,"Shooting face, mouth, jaw pain, headache for about 15min then it just goes aways.",I hope this gets rid of the infection as this is hell to see my child wake up in so much pain. Happened once we weren't sure what was going on but then it happened again the next day same approx. time after taking the dose. It has to be a side effect of the zithromax.,M,4,5 days3.5ml 1X day,6/6/2022Email
1,Sinus infection,"Extreme stomach cramps and diarrhea within two hours of taking first (double) dose. Unable to sleep, horrible headache all day today, nauseated, very irritable (who wouldn't be?).","Side effects are worse than the sinus infection. I'm not taking any more doses, I'd rather take my chances with a recurrence of the infection.",F,59,1 days250 mg 1X day,05/07/2022
3,Ear infection,"Horrible Anxiety, palpitations (but when i check pretty normal heart rate), cant sleep, horrible stomach pain, constantly in the restroom.. feeling like im going to puke. Body is super jittery and shaky.","Taken this multiple times. 2 other times i felt close to the same way. But never realized it was the medicine. Just figured it was my sickness. Took it for my other ear. Was perfectly fine. Took it for this ear and past 2 days have been horrible. Seems like when i eat greasy food right after taking it, it causes these horrible symptoms. Think easy meals is definitely the way to go while on this. Cannot sleep at all so im on here writing this to help the anxiety part. Lol good luck everyone. Helped my sinus infection and 1st ear infection. My now infected ear has been feeling better also. Just weird one dose i feel fine. The next one i feel like shit lol",M,25,5 days500mg 1X day,04/03/2022
1,Sinus,"Stomache pains, very dizzy, felt like I was gonna pass out. I feel out of it. Sleep all day long. I will not take the last two pills and I wrote my Doctor.",,F,51,3 days 1X day,02/04/2022
1,Strep throat,"Extreme anxiety, very fast heartrate, unable to sleep all night. Very dry mouth. This is awful. I only took the first dose, I will not take it again.",,F,43,1 days 1X day,1/19/2022Email
